id,name,type,deletedon,lastseenlatitude,lastseenlongitude,showtabssearch,showtabstruck,showtabsbarge,showtabstrain,showtabsmoves,showmenucockpit,showmenugate,showmenudamage,showmenusettings,yard_id,maxjobsvisible,maxjobsactive,showmenutasks,enableallowvesselmoves,enableallowtrainmoves,enableallowtruckmoves,limitpositionsbyrestrictedyardregions,defaultmarker_id
551382,Crane 1,CRANE,,55.9562397,-4.7625637,true,false,true,false,false,true,false,false,true,1,250,250,false,true,false,false,false,2352136
900347,Crane 2,CRANE,,51.5073509,-0.1277583,true,false,true,false,false,true,false,false,true,1,250,250,false,true,false,false,false,2352138
14068715,Grid Carrier 1,STRADDLECARRIER,,55.9547576,-4.7648315,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
14068905,Crane 1 Carrier 1,STRADDLECARRIER,,55.9546969,-4.764823,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
14068805,Grid Carrier 2,STRADDLECARRIER,,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551381,26,STRADDLECARRIER,2021-10-15 06:01:59.404581,55.9555348,-4.7635575,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15626213,Crane 2 Carrier 2,STRADDLECARRIER,,55.9550768,-4.765668,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
2100439,Stacker ECH 4,REACHSTACKER,,55.9530664,-4.7606451,true,false,false,false,false,true,false,false,true,1,10,10,false,true,false,false,false,
15252264,Crane 3 Carrier 2,STRADDLECARRIER,,55.9547217,-4.7648853,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
2100442,32,STRADDLECARRIER,2021-10-15 06:01:42.584274,55.9542556,-4.7642879,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551384,31,STRADDLECARRIER,2021-10-15 06:01:44.864091,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15625087,Crane 3 Carrier 4,STRADDLECARRIER,,55.954962,-4.7651104,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15624335,Crane 1 Carrier 4,STRADDLECARRIER,,55.94014392176536,-4.763690240611781,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551385,33,STRADDLECARRIER,2021-10-15 06:01:46.862895,55.9542244,-4.7643963,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551392,28,STRADDLECARRIER,2021-10-15 06:01:49.540051,55.9544564,-4.7637553,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
2309448,Crane 3,CRANE,,55.9560093,-4.7618859,true,false,true,false,false,true,false,false,true,1,250,250,false,true,false,false,false,2352141
15252594,Crane 3 Carrier 3,STRADDLECARRIER,,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15623672,Grid Carrier 4,STRADDLECARRIER,,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551387,35,STRADDLECARRIER,2021-10-15 06:01:51.868904,55.9542244,-4.7643963,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
14068933,Crane 1 Carrier 2,STRADDLECARRIER,,55.9554307,-4.7654741,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15625712,Crane 2 Carrier 1,STRADDLECARRIER,,55.954679,-4.7648263,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15626987,Crane 2 Carrier 4,STRADDLECARRIER,,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
2309453,Stacker ECH 3,REACHSTACKER,,55.9544366,-4.7639557,true,false,false,false,false,true,false,false,true,1,10,10,false,false,false,false,false,
2100444,36,STRADDLECARRIER,2021-10-15 06:01:53.667561,55.9542567,-4.7644044,true,false,false,false,false,true,false,false,true,1,10,3,true,false,false,true,false,
551388,37,STRADDLECARRIER,2021-10-15 06:01:55.297095,55.9550877,-4.7652435,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551390,96,STRADDLECARRIER,2021-10-15 06:01:57.038804,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
14685958,Crane 3 Carrier 1,STRADDLECARRIER,,55.9558435,-4.7636776,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15626639,Crane 2 Carrier 3,STRADDLECARRIER,,55.9548464,-4.7643996,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551389,38,STRADDLECARRIER,2021-10-15 06:02:02.091655,55.9547152,-4.7645466,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551383,30,STRADDLECARRIER,2021-10-15 06:02:08.507644,55.9547608,-4.7655197,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15654218,Crane 1 BayPlan,CRANE,,51.5073509,-0.1277583,true,false,true,false,false,true,false,false,true,1,250,250,false,true,false,false,false,
15653932,Crane 1 Checker,CRANE,,51.5073509,-0.1277583,true,false,false,false,false,true,false,false,true,1,250,250,false,true,false,false,false,
14571917,Crane 1 Carrier 3,STRADDLECARRIER,,55.9560804,-4.7627964,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551386,34,STRADDLECARRIER,2021-10-15 06:02:04.258554,55.9542566,-4.7643474,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
551391,97,STRADDLECARRIER,2021-10-15 06:02:06.332562,55.9546995,-4.7648008,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
15623343,Grid Carrier 3,STRADDLECARRIER,,55.954278,-4.764276,true,false,false,false,false,true,false,false,true,1,10,3,false,false,false,true,false,
